id;establecimiento_id;id_edificio;id_entidad;id_municipio;id_tipo_asentamiento;id_tipo_centro_comercial;id_tipo_uni_eco;id_tipo_vial;id_actividad;manzana;ageb;fecha_alta
1;8320509;0;2;2;12;0;1;1;797;3;8423;2019-11
2;8838283;9;2;1;7;0;1;1;641;16;717;2019-11
3;6166487;0;2;2;7;0;1;2;80;800;3653;2010-07
4;8346295;0;2;1;12;0;1;1;71;4;9956;2019-11
5;9323240;0;2;2;7;0;1;3;71;800;362A;2020-11
6;6166344;0;2;1;7;0;1;1;699;6;076A;2010-07
7;9938978;35;2;1;15;1;1;4;797;9;083A;2024-11
8;10676525;0;2;2;12;0;1;1;797;29;8048;2024-11
9;6166273;0;2;1;7;0;1;5;699;50;795A;2014-12
10;10399786;0;2;2;7;0;1;6;308;28;4789;2024-11
11;11650226;0;2;6;2;0;1;1;71;33;164;2024-11
12;6762603;0;2;1;7;0;1;4;699;22;076A;2016-10
13;8130649;0;2;1;12;0;1;1;682;6;1096;2019-11
14;6166311;0;2;6;12;0;1;1;699;15;893;2014-12
15;8345681;0;2;1;12;0;1;1;797;15;6538;2019-11
16;8901346;0;2;1;7;0;1;1;699;8;1043;2019-11
17;9045957;0;2;1;7;0;1;4;697;1;7470;2019-11
18;9401810;9;2;1;7;0;1;1;701;2;7466;2023-11
19;11032940;35;2;1;15;1;1;4;797;9;083A;2024-11
20;9585470;0;2;2;15;0;1;7;797;4;4647;2024-11
21;7633673;0;2;1;7;0;1;4;682;2;1096;2019-11
22;6726612;0;2;1;7;0;1;1;682;6;1096;2016-01
23;6752874;0;2;1;7;0;1;1;641;21;770A;2016-10
24;6166503;0;2;6;15;0;1;1;641;25;22;2014-12
25;8901366;0;2;1;7;0;1;4;699;16;820A;2019-11
26;6166471;9;2;1;12;0;1;3;699;29;6538;2010-07